amb_adjusted,delay_withheld_info_adjusted,delay_foreshadowing_adjusted,delay_cliffhanger_adjusted,delay_pacing_adjusted,atmosphere_adjusted,length,punctuation_density,avg_word_length,ends_ellipsis,ends_dash,has_semicolon,adj_density,adv_density,modal_density,verb_density,Author
1,0,0,0,0,0,43,0.02262443438914027,4.116279069767442,0,0,0,0.125,0.0625,0.0,0.14583333333333334,Stoker
2,0,0,0,1,1,57,0.03313253012048193,4.807017543859649,0,0,0,0.04411764705882353,0.04411764705882353,0.014705882352941176,0.10294117647058823,Stoker
0,0,0,3,0,2,16,0.03488372093023256,4.375,0,0,0,0.10526315789473684,0.05263157894736842,0.0,0.15789473684210525,Stoker
2,1,0,0,0,3,96,0.021653543307086614,4.260416666666667,0,0,0,0.04672897196261682,0.06542056074766354,0.009345794392523364,0.1308411214953271,Stoker
2,1,0,0,0,3,96,0.021653543307086614,4.260416666666667,0,0,0,0.04672897196261682,0.06542056074766354,0.009345794392523364,0.1308411214953271,Stoker
0,0,0,0,0,0,24,0.017241379310344827,3.8333333333333335,0,0,0,0.07692307692307693,0.15384615384615385,0.038461538461538464,0.15384615384615385,Stoker
1,0,0,0,1,0,63,0.03064066852367688,4.650793650793651,0,0,0,0.012658227848101266,0.10126582278481013,0.02531645569620253,0.13924050632911392,Stoker
1,0,0,1,0,1,49,0.023346303501945526,4.224489795918367,0,0,1,0.03636363636363636,0.05454545454545454,0.01818181818181818,0.18181818181818182,Stoker
0,0,0,0,0,0,39,0.021505376344086023,3.7435897435897436,0,0,0,0.09302325581395349,0.023255813953488372,0.0,0.13953488372093023,Stoker
0,1,0,0,0,0,71,0.016129032258064516,4.225352112676056,0,0,0,0.0375,0.0,0.0125,0.1125,Stoker
0,0,0,0,0,0,18,0.018867924528301886,4.833333333333333,0,0,0,0.045454545454545456,0.09090909090909091,0.0,0.18181818181818182,Stoker
0,0,0,1,0,0,33,0.024242424242424242,3.9696969696969697,0,0,0,0.05,0.125,0.0,0.2,Stoker
0,0,0,0,0,0,1,0.25,3.0,0,0,0,0.0,0.0,0.0,0.0,Stoker
0,0,0,1,1,0,64,0.027700831024930747,4.546875,0,0,0,0.011111111111111112,0.044444444444444446,0.0,0.15555555555555556,Stoker
1,0,0,0,1,0,56,0.020689655172413793,4.160714285714286,0,0,0,0.05970149253731343,0.1044776119402985,0.014925373134328358,0.16417910447761194,Stoker
4,0,1,0,0,1,43,0.02,3.604651162790698,0,0,0,0.02127659574468085,0.02127659574468085,0.06382978723404255,0.19148936170212766,Stoker
0,0,0,0,0,0,17,0.041666666666666664,4.588235294117647,0,0,0,0.0,0.043478260869565216,0.0,0.2608695652173913,Stoker
1,1,1,0,3,5,58,0.012195121951219513,4.637931034482759,0,0,0,0.08064516129032258,0.04838709677419355,0.016129032258064516,0.1774193548387097,Stoker
1,0,0,0,0,1,96,0.007736943907156673,4.364583333333333,0,0,0,0.11538461538461539,0.038461538461538464,0.0,0.125,Stoker
1,0,0,0,0,1,96,0.007736943907156673,4.364583333333333,0,0,0,0.11538461538461539,0.038461538461538464,0.0,0.125,Stoker
0,0,0,0,0,0,21,0.022727272727272728,5.285714285714286,0,0,0,0.125,0.041666666666666664,0.0,0.125,Stoker
3,0,1,0,2,5,135,0.018105849582172703,4.303703703703704,0,0,0,0.07894736842105263,0.013157894736842105,0.006578947368421052,0.13157894736842105,Stoker
2,0,0,0,1,0,101,0.01763668430335097,4.584158415841584,0,0,0,0.061946902654867256,0.09734513274336283,0.0,0.1592920353982301,Stoker
2,0,0,0,1,0,101,0.01763668430335097,4.584158415841584,0,0,0,0.061946902654867256,0.09734513274336283,0.0,0.1592920353982301,Stoker
0,0,0,2,0,1,40,0.022935779816513763,4.425,0,0,0,0.06666666666666667,0.08888888888888889,0.0,0.1111111111111111,Stoker
0,0,0,1,0,2,74,0.02278481012658228,4.3108108108108105,0,0,0,0.060240963855421686,0.04819277108433735,0.0,0.10843373493975904,Stoker
2,1,2,0,0,1,101,0.01916376306620209,4.643564356435643,0,0,0,0.0603448275862069,0.017241379310344827,0.0,0.11206896551724138,Stoker
2,1,2,0,0,1,101,0.01916376306620209,4.643564356435643,0,0,0,0.0603448275862069,0.017241379310344827,0.0,0.11206896551724138,Stoker
2,1,2,0,0,1,101,0.01916376306620209,4.643564356435643,0,0,0,0.0603448275862069,0.017241379310344827,0.0,0.11206896551724138,Stoker
0,0,0,0,0,0,8,0.05,4.0,0,0,0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,Stoker
0,0,0,1,0,1,17,0.022222222222222223,4.294117647058823,0,0,0,0.05263157894736842,0.05263157894736842,0.0,0.15789473684210525,Stoker
1,0,0,0,0,0,47,0.012096774193548387,4.25531914893617,0,0,0,0.02,0.02,0.0,0.2,Stoker
0,0,0,1,0,0,40,0.01990049751243781,4.0,0,0,0,0.11363636363636363,0.045454545454545456,0.0,0.13636363636363635,Stoker
3,0,0,1,1,1,62,0.02881844380403458,4.564516129032258,0,0,0,0.013888888888888888,0.06944444444444445,0.0,0.1527777777777778,Stoker
1,0,0,0,0,0,33,0.017241379310344827,4.2727272727272725,0,0,0,0.027777777777777776,0.05555555555555555,0.0,0.2222222222222222,Stoker
0,0,0,0,1,0,25,0.02877697841726619,4.56,0,0,0,0.034482758620689655,0.0,0.0,0.20689655172413793,Stoker
0,0,0,0,2,0,14,0.0125,4.714285714285714,0,0,0,0.0,0.0625,0.0,0.1875,Stoker
0,0,0,0,0,4,68,0.01728395061728395,4.897058823529412,0,0,0,0.12987012987012986,0.03896103896103896,0.0,0.14285714285714285,Jacobs
0,0,0,1,0,0,20,0.046511627906976744,5.4,0,0,1,0.18518518518518517,0.037037037037037035,0.0,0.07407407407407407,Jacobs
1,0,1,0,0,0,30,0.04597701149425287,4.733333333333333,0,0,1,0.06666666666666667,0.06666666666666667,0.0,0.17777777777777778,Jacobs
0,0,0,0,0,1,53,0.024734982332155476,4.283018867924528,0,0,0,0.04838709677419355,0.06451612903225806,0.0,0.14516129032258066,Jacobs
0,0,0,0,0,2,41,0.044642857142857144,4.414634146341464,0,0,0,0.06896551724137931,0.05172413793103448,0.0,0.20689655172413793,Jacobs
0,0,0,0,0,1,22,0.037037037037037035,5.090909090909091,0,0,0,0.030303030303030304,0.030303030303030304,0.0,0.18181818181818182,Jacobs
0,0,0,0,0,1,18,0.034482758620689655,3.8333333333333335,0,0,0,0.125,0.041666666666666664,0.0,0.20833333333333334,Jacobs
0,0,0,0,0,0,18,0.04395604395604396,3.9444444444444446,0,0,1,0.11538461538461539,0.0,0.0,0.19230769230769232,Jacobs
0,0,0,0,0,0,18,0.04395604395604396,3.9444444444444446,0,0,1,0.11538461538461539,0.0,0.0,0.19230769230769232,Jacobs
0,0,0,0,0,0,10,0.04477611940298507,5.6,0,0,0,0.2,0.06666666666666667,0.0,0.2,Jacobs
0,0,0,0,0,0,10,0.04477611940298507,5.6,0,0,0,0.2,0.06666666666666667,0.0,0.2,Jacobs
0,0,0,0,0,0,10,0.04477611940298507,5.6,0,0,0,0.2,0.06666666666666667,0.0,0.2,Jacobs
0,0,0,0,0,0,31,0.024096385542168676,4.290322580645161,0,0,0,0.10810810810810811,0.05405405405405406,0.0,0.21621621621621623,Jacobs
0,0,0,0,1,2,27,0.03184713375796178,4.7407407407407405,0,0,0,0.10810810810810811,0.0,0.0,0.10810810810810811,Jacobs
1,0,0,1,0,0,43,0.021929824561403508,4.27906976744186,0,0,0,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.07692307692307693,Jacobs
0,0,1,0,0,0,12,0.06666666666666667,5.083333333333333,0,0,0,0.05,0.0,0.05,0.1,Jacobs
0,0,0,0,0,0,15,0.04395604395604396,5.0,0,0,0,0.09523809523809523,0.047619047619047616,0.0,0.14285714285714285,Jacobs
0,0,0,1,0,1,18,0.020618556701030927,4.388888888888889,0,0,0,0.1,0.0,0.0,0.15,Jacobs
0,0,0,0,0,0,79,0.03836317135549872,3.8860759493670884,0,0,0,0.019230769230769232,0.019230769230769232,0.009615384615384616,0.18269230769230768,Jacobs
0,0,0,0,0,0,79,0.03836317135549872,3.8860759493670884,0,0,0,0.019230769230769232,0.019230769230769232,0.009615384615384616,0.18269230769230768,Jacobs
0,0,0,0,1,2,21,0.02608695652173913,4.476190476190476,0,0,0,0.08333333333333333,0.125,0.0,0.125,Jacobs
1,0,0,0,0,5,80,0.020594965675057208,4.425,0,0,0,0.07446808510638298,0.010638297872340425,0.0,0.19148936170212766,Jacobs
1,0,0,0,0,5,80,0.020594965675057208,4.425,0,0,0,0.07446808510638298,0.010638297872340425,0.0,0.19148936170212766,Jacobs
2,0,0,0,0,0,39,0.026785714285714284,4.717948717948718,0,0,0,0.057692307692307696,0.07692307692307693,0.019230769230769232,0.19230769230769232,Jacobs
0,0,0,0,0,0,27,0.050359712230215826,4.111111111111111,0,0,0,0.05263157894736842,0.0,0.02631578947368421,0.21052631578947367,Jacobs
1,0,0,0,0,1,36,0.046153846153846156,4.361111111111111,0,0,1,0.07692307692307693,0.019230769230769232,0.0,0.19230769230769232,Jacobs
3,0,0,1,1,0,66,0.024861878453038673,4.46969696969697,0,0,0,0.05333333333333334,0.04,0.0,0.2,Jacobs
1,2,0,0,0,1,77,0.023474178403755867,4.5064935064935066,0,0,0,0.054945054945054944,0.06593406593406594,0.01098901098901099,0.14285714285714285,Jacobs
0,0,0,0,0,0,26,0.05161290322580645,4.884615384615385,0,0,1,0.1111111111111111,0.06666666666666667,0.022222222222222223,0.2,Jacobs
0,0,0,0,0,0,26,0.05161290322580645,4.884615384615385,0,0,1,0.1111111111111111,0.06666666666666667,0.022222222222222223,0.2,Jacobs
0,0,0,0,0,2,22,0.06666666666666667,4.363636363636363,0,0,0,0.05714285714285714,0.05714285714285714,0.0,0.17142857142857143,Jacobs
0,0,0,0,1,0,21,0.03389830508474576,4.571428571428571,0,0,0,0.06896551724137931,0.0,0.0,0.13793103448275862,Jacobs
0,0,0,0,0,0,14,0.022727272727272728,5.285714285714286,0,0,0,0.1,0.0,0.0,0.15,Jacobs
1,0,1,0,0,5,87,0.021956087824351298,4.735632183908046,0,0,0,0.10204081632653061,0.09183673469387756,0.01020408163265306,0.15306122448979592,Jacobs
1,0,0,0,0,0,9,0.05660377358490566,4.888888888888889,0,0,0,0.0,0.21428571428571427,0.0,0.21428571428571427,Jacobs
